model,roc_auc,pr_auc,recall,precision,f1,specificity
Logistic Regression,0.9171,0.319,0.8182,0.1856,0.3025,0.8803
Random Forest,0.9486,0.4999,0.6591,0.3718,0.4754,0.9629
XGBoost,0.9531,0.4779,0.6136,0.3913,0.4779,0.9682
