roc_auc,pr_auc,precision,recall,f1,specificity,threshold,tp,fp,tn,fn
0.9531,0.4779,0.2054,0.8636,0.3319,0.8886,0.1,38,147,1173,6
0.9531,0.4779,0.2748,0.8182,0.4114,0.928,0.2,36,95,1225,8
0.9531,0.4779,0.3367,0.75,0.4648,0.9508,0.3,33,65,1255,11
0.9531,0.4779,0.3372,0.6591,0.4462,0.9568,0.4,29,57,1263,15
0.9531,0.4779,0.3913,0.6136,0.4779,0.9682,0.5,27,42,1278,17
0.9531,0.4779,0.4407,0.5909,0.5049,0.975,0.6,26,33,1287,18
0.9531,0.4779,0.5,0.5,0.5,0.9833,0.7,22,22,1298,22
0.9531,0.4779,0.5294,0.4091,0.4615,0.9879,0.8,18,16,1304,26
