roc_auc,pr_auc,precision,recall,f1,specificity,threshold,tp,fp,tn,fn
0.9486,0.4999,0.1566,0.8864,0.2662,0.8409,0.1,39,210,1110,5
0.9486,0.4999,0.2258,0.7955,0.3518,0.9091,0.2,35,120,1200,9
0.9486,0.4999,0.2966,0.7955,0.4321,0.9371,0.3,35,83,1237,9
0.9486,0.4999,0.3299,0.7273,0.4539,0.9508,0.4,32,65,1255,12
0.9486,0.4999,0.3718,0.6591,0.4754,0.9629,0.5,29,49,1271,15
0.9486,0.4999,0.4098,0.5682,0.4762,0.9727,0.6,25,36,1284,19
0.9486,0.4999,0.4634,0.4318,0.4471,0.9833,0.7,19,22,1298,25
0.9486,0.4999,0.6154,0.3636,0.4571,0.9924,0.8,16,10,1310,28
