roc_auc,pr_auc,precision,recall,f1,specificity,threshold,tp,fp,tn,fn
0.9171,0.319,0.0787,0.9318,0.1451,0.6364,0.1,41,480,840,3
0.9171,0.319,0.1028,0.9091,0.1848,0.7356,0.2,40,349,971,4
0.9171,0.319,0.1294,0.9091,0.2266,0.7962,0.3,40,269,1051,4
0.9171,0.319,0.1481,0.8182,0.2509,0.8432,0.4,36,207,1113,8
0.9171,0.319,0.1856,0.8182,0.3025,0.8803,0.5,36,158,1162,8
0.9171,0.319,0.2297,0.7727,0.3542,0.9136,0.6,34,114,1206,10
0.9171,0.319,0.2602,0.7273,0.3832,0.9311,0.7,32,91,1229,12
0.9171,0.319,0.3061,0.6818,0.4225,0.9485,0.8,30,68,1252,14
